number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_epoche_count,params_hidden_neurons_count,params_learning_rate,params_use_sigmoid,system_attrs_nsga2:generation,state
0,0.9553571428571429,208.0,2024-11-25 13:08:10.551685,2024-11-25 13:08:12.915486,0 days 00:00:02.363801,3,208,5,0.009000000000000001,True,0,COMPLETE
1,0.9553571428571429,74.0,2024-11-25 13:08:12.916428,2024-11-25 13:08:13.707246,0 days 00:00:00.790818,3,74,6,0.003,False,0,COMPLETE
2,0.5555555555555556,41.0,2024-11-25 13:08:13.708081,2024-11-25 13:08:14.153310,0 days 00:00:00.445229,4,41,9,0.002,True,0,COMPLETE
3,0.9326599326599326,62.0,2024-11-25 13:08:14.154262,2024-11-25 13:08:15.048048,0 days 00:00:00.893786,1,62,15,0.007,False,0,COMPLETE
4,0.9777530589543938,75.0,2024-11-25 13:08:15.048630,2024-11-25 13:08:15.845912,0 days 00:00:00.797282,5,75,10,0.01,True,0,COMPLETE
5,0.9777530589543938,109.0,2024-11-25 13:08:15.847392,2024-11-25 13:08:17.007547,0 days 00:00:01.160155,3,109,13,0.009000000000000001,False,0,COMPLETE
6,0.9326599326599326,49.0,2024-11-25 13:08:17.008269,2024-11-25 13:08:17.559787,0 days 00:00:00.551518,4,49,5,0.008,True,0,COMPLETE
7,0.9777530589543938,232.0,2024-11-25 13:08:17.560474,2024-11-25 13:08:20.269270,0 days 00:00:02.708796,3,232,13,0.006,True,0,COMPLETE
8,0.9553571428571429,64.0,2024-11-25 13:08:20.269753,2024-11-25 13:08:20.989598,0 days 00:00:00.719845,4,64,7,0.01,True,0,COMPLETE
9,0.9553571428571429,82.0,2024-11-25 13:08:20.990569,2024-11-25 13:08:22.203942,0 days 00:00:01.213373,1,82,7,0.004,False,0,COMPLETE
10,0.9777530589543938,266.0,2024-11-25 13:08:22.204531,2024-11-25 13:08:25.044771,0 days 00:00:02.840240,4,266,8,0.009000000000000001,True,0,COMPLETE
11,0.9777530589543938,142.0,2024-11-25 13:08:25.045352,2024-11-25 13:08:26.703823,0 days 00:00:01.658471,2,142,8,0.004,False,0,COMPLETE
12,0.9777530589543938,43.0,2024-11-25 13:08:26.704660,2024-11-25 13:08:27.330292,0 days 00:00:00.625632,1,43,10,0.008,False,0,COMPLETE
13,0.9553571428571429,247.0,2024-11-25 13:08:27.331276,2024-11-25 13:08:29.844761,0 days 00:00:02.513485,4,247,7,0.005,False,0,COMPLETE
14,0.9777530589543938,53.0,2024-11-25 13:08:29.845278,2024-11-25 13:08:30.495432,0 days 00:00:00.650154,2,53,15,0.006,True,0,COMPLETE
15,0.9326599326599326,180.0,2024-11-25 13:08:30.495999,2024-11-25 13:08:32.655424,0 days 00:00:02.159425,2,180,10,0.009000000000000001,True,0,COMPLETE
16,0.16666666666666666,53.0,2024-11-25 13:08:32.656049,2024-11-25 13:08:33.187992,0 days 00:00:00.531943,4,53,15,0.009000000000000001,False,0,COMPLETE
17,0.9553571428571429,147.0,2024-11-25 13:08:33.188958,2024-11-25 13:08:34.745458,0 days 00:00:01.556500,5,147,14,0.01,True,0,COMPLETE
18,0.9777530589543938,248.0,2024-11-25 13:08:34.746332,2024-11-25 13:08:38.257868,0 days 00:00:03.511536,1,248,8,0.004,False,0,COMPLETE
19,0.9777530589543938,208.0,2024-11-25 13:08:38.258599,2024-11-25 13:08:40.443014,0 days 00:00:02.184415,3,208,9,0.009000000000000001,False,0,COMPLETE
20,0.9553571428571429,129.0,2024-11-25 13:08:40.443675,2024-11-25 13:08:41.796840,0 days 00:00:01.353165,3,129,14,0.007,False,0,COMPLETE
21,0.9553571428571429,243.0,2024-11-25 13:08:41.797467,2024-11-25 13:08:44.196856,0 days 00:00:02.399389,4,243,10,0.004,False,0,COMPLETE
22,0.9326599326599326,256.0,2024-11-25 13:08:44.197838,2024-11-25 13:08:46.916776,0 days 00:00:02.718938,4,256,7,0.004,True,0,COMPLETE
23,0.9777530589543938,122.0,2024-11-25 13:08:46.917335,2024-11-25 13:08:48.672753,0 days 00:00:01.755418,1,122,7,0.01,True,0,COMPLETE
24,0.9553571428571429,247.0,2024-11-25 13:08:48.673412,2024-11-25 13:08:51.327812,0 days 00:00:02.654400,4,247,9,0.01,True,0,COMPLETE
25,0.9553571428571429,40.0,2024-11-25 13:08:51.328632,2024-11-25 13:08:51.767991,0 days 00:00:00.439359,4,40,14,0.006,False,0,COMPLETE
26,0.9553571428571429,225.0,2024-11-25 13:08:51.768506,2024-11-25 13:08:54.525018,0 days 00:00:02.756512,2,225,10,0.009000000000000001,True,0,COMPLETE
27,0.8611111111111112,43.0,2024-11-25 13:08:54.526135,2024-11-25 13:08:54.987595,0 days 00:00:00.461460,5,43,7,0.003,True,0,COMPLETE
28,0.9777530589543938,92.0,2024-11-25 13:08:54.988533,2024-11-25 13:08:56.031445,0 days 00:00:01.042912,3,92,6,0.01,True,0,COMPLETE
29,1.0,290.0,2024-11-25 13:08:56.031944,2024-11-25 13:08:58.914451,0 days 00:00:02.882507,5,290,11,0.009000000000000001,False,0,COMPLETE
30,0.32233381157340985,38.0,2024-11-25 13:08:58.915040,2024-11-25 13:08:59.496217,0 days 00:00:00.581177,1,38,12,0.001,True,0,COMPLETE
31,0.9553571428571429,34.0,2024-11-25 13:08:59.497151,2024-11-25 13:08:59.863121,0 days 00:00:00.365970,3,34,10,0.007,False,0,COMPLETE
32,0.4008004574042309,32.0,2024-11-25 13:08:59.863782,2024-11-25 13:09:00.204011,0 days 00:00:00.340229,5,32,5,0.003,True,0,COMPLETE
33,0.5555555555555556,45.0,2024-11-25 13:09:00.204719,2024-11-25 13:09:00.676212,0 days 00:00:00.471493,5,45,7,0.002,True,0,COMPLETE
34,0.6825396825396826,42.0,2024-11-25 13:09:00.676731,2024-11-25 13:09:01.168151,0 days 00:00:00.491420,3,42,5,0.004,True,0,COMPLETE
35,0.9332591768631814,65.0,2024-11-25 13:09:01.169055,2024-11-25 13:09:02.048009,0 days 00:00:00.878954,2,65,13,0.006,True,0,COMPLETE
36,0.9553571428571429,236.0,2024-11-25 13:09:02.048863,2024-11-25 13:09:04.889754,0 days 00:00:02.840891,2,236,11,0.003,False,0,COMPLETE
37,0.9777530589543938,31.0,2024-11-25 13:09:04.890673,2024-11-25 13:09:05.261977,0 days 00:00:00.371304,2,31,13,0.009000000000000001,False,0,COMPLETE
38,0.9777530589543938,53.0,2024-11-25 13:09:05.263090,2024-11-25 13:09:05.847469,0 days 00:00:00.584379,3,53,5,0.003,False,0,COMPLETE
39,0.9553571428571429,156.0,2024-11-25 13:09:05.848393,2024-11-25 13:09:07.446112,0 days 00:00:01.597719,4,156,8,0.006,False,0,COMPLETE
40,0.8611111111111112,33.0,2024-11-25 13:09:07.447018,2024-11-25 13:09:07.780337,0 days 00:00:00.333319,5,33,11,0.002,False,0,COMPLETE
41,0.9777530589543938,55.0,2024-11-25 13:09:07.780986,2024-11-25 13:09:08.443595,0 days 00:00:00.662609,2,55,14,0.001,False,0,COMPLETE
42,0.9777530589543938,38.0,2024-11-25 13:09:08.444193,2024-11-25 13:09:08.853147,0 days 00:00:00.408954,4,38,10,0.007,False,0,COMPLETE
43,0.9777530589543938,35.0,2024-11-25 13:09:08.853916,2024-11-25 13:09:09.205250,0 days 00:00:00.351334,5,35,13,0.003,False,0,COMPLETE
44,0.9777530589543938,299.0,2024-11-25 13:09:09.205788,2024-11-25 13:09:12.765660,0 days 00:00:03.559872,2,299,8,0.001,False,0,COMPLETE
45,0.9777530589543938,198.0,2024-11-25 13:09:12.766323,2024-11-25 13:09:14.881682,0 days 00:00:02.115359,5,198,14,0.004,True,0,COMPLETE
46,0.9553571428571429,133.0,2024-11-25 13:09:14.882681,2024-11-25 13:09:16.397564,0 days 00:00:01.514883,2,133,5,0.003,False,0,COMPLETE
47,0.9553571428571429,94.0,2024-11-25 13:09:16.398236,2024-11-25 13:09:17.831062,0 days 00:00:01.432826,1,94,14,0.005,True,0,COMPLETE
48,0.9777530589543938,72.0,2024-11-25 13:09:17.831711,2024-11-25 13:09:18.923131,0 days 00:00:01.091420,1,72,5,0.009000000000000001,True,0,COMPLETE
49,0.9553571428571429,219.0,2024-11-25 13:09:18.923883,2024-11-25 13:09:22.222483,0 days 00:00:03.298600,1,219,10,0.007,True,0,COMPLETE
50,0.9777530589543938,92.0,2024-11-25 13:09:22.223072,2024-11-25 13:09:23.198068,0 days 00:00:00.974996,3,92,6,0.01,False,1,COMPLETE
51,0.9553571428571429,232.0,2024-11-25 13:09:23.199001,2024-11-25 13:09:26.724768,0 days 00:00:03.525767,1,232,13,0.003,True,1,COMPLETE
52,0.9326599326599326,75.0,2024-11-25 13:09:26.725331,2024-11-25 13:09:27.599182,0 days 00:00:00.873851,2,75,14,0.007,False,1,COMPLETE
53,0.9777530589543938,75.0,2024-11-25 13:09:27.599773,2024-11-25 13:09:28.417910,0 days 00:00:00.818137,4,75,6,0.009000000000000001,True,1,COMPLETE
